dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ett1/H/short,f32,106.78924851190476,106.78924851190476,5.32240978422619,0.8709919383520777,0.4596250261579241,0.2770677805063174,6.280603012368776,10.333888353950064,0.4823248471671865,0.24841863951014778,0.1915525711151842,Energy,7
ett1/H/medium,f32,166.33638392857142,166.33638392857142,8.090755789620536,1.477689585495748,4720106738293.38,0.48108432546355395,9.979387873188918,12.89714634826524,0.6177428063017903,0.38752806641252974,0.29700300115555067,Energy,7
ett1/H/long,f32,180.73546626984128,180.73546626984128,8.3184322296627,1.4949238777036065,4313420400412.565,0.4915725013274814,9.17436207564848,13.443789133642394,0.643793944384387,0.3983517030051635,0.30312207792733353,Energy,7
ett1/W/short,f32,1258326.857142857,1258326.857142857,907.0079520089286,1.5730976934299137,0.6901811872209821,0.5658736462339141,8.936577845579082,1121.7516913929112,0.44637177169297887,0.3609201123424348,0.26091113647082964,Energy,7
ett2/15T/short,f32,6.988795107886904,6.988795107886904,1.7101434616815476,0.7349020190065143,0.10282888746089038,0.12446855303072907,5.255307573115037,2.6436329374341865,0.12550266014755512,0.08118659388594712,0.06375743687922224,Energy,7
ett2/15T/medium,f32,11.137884424603175,11.137884424603175,2.1292193700396824,0.8905736781286234,0.13419699516566236,0.1682384282144373,6.786247613382154,3.3373469140326386,0.17785324633119348,0.11346994689719955,0.0909746274696454,Energy,7
ett2/15T/long,f32,11.279976438492064,11.279976438492064,2.161617683531746,0.9147711745320498,0.13951756722160363,0.17443353670226935,7.318339501650332,3.358567617079052,0.178984135934059,0.11519651155429017,0.09405638614457502,Energy,7
ett2/D/short,f32,105800.8253968254,105800.8253968254,204.62956349206348,1.4106679630564056,0.39077514164031496,0.1483632617993345,12.949628221271503,325.2703881339729,0.18616082509878576,0.1171148981554284,0.09738270807477704,Energy,7
ett2/H/short,f32,99.83301711309524,99.83301711309524,6.153798130580357,0.7162214466016349,0.11824639491378186,0.10747242444537122,5.083420612604942,9.991647367331137,0.1267218894108373,0.0780472826442752,0.06180328457288615,Energy,7
ett2/H/medium,f32,229.8004650297619,229.8004650297619,9.274863978794643,1.0171418115671365,0.17178061167303577,0.16521095034559655,7.1994693878692715,15.159170987549482,0.2042795647539665,0.12498474872382773,0.09994173869512012,Energy,7
ett2/H/long,f32,250.7549933862434,250.7549933862434,9.54206039186508,1.0614752480668357,0.18284039432683954,0.17371993896140947,8.257508753326134,15.835245289740334,0.2168514965381188,0.13067117295452907,0.10607957296906433,Energy,7
ett2/W/short,f32,3291584.0,3291584.0,1288.705078125,0.9076970871307362,0.1487201111657279,0.1686829928451302,8.048603885512216,1814.272305912208,0.15218963197636198,0.10810259900169754,0.08870840754108072,Energy,7
hierarchical_sales/D/short,f32,28.50824462587846,28.50824462587846,2.305785577718065,0.7439660591438338,0.645035809169166,1.0663290830706755,7.1510496152677945,5.3393112501406454,1.6380415622379765,0.707389480209007,0.5714432398038943,Sales,1
hierarchical_sales/W/short,f32,454.65773967161016,454.65773967161016,8.979445635262183,0.730930966605321,0.5535102867062143,0.4594310046509159,6.774228317027414,21.322704792582254,0.9789358067381253,0.41225074128843603,0.3544101229871556,Sales,1
hospital/M/short,f32,3588.271186440678,3588.271186440678,19.622793079096045,0.7811065587913906,0.19135687279732316,0.17548324061009088,5.3242385221736495,59.90218014764302,0.2174588240709585,0.07123529556771681,0.05576928920123639,Healthcare,1
jena_weather/10T/short,f32,787.1543154761905,787.1543154761905,5.302434430803571,0.2693874103950236,0.3752180815062599,0.5449545759545019,2.236264215116102,28.05627051972857,0.17426461687416125,0.03293476600657204,0.027243817275851498,Nature,21
jena_weather/10T/medium,f32,1409.4437229437228,1409.4437229437228,9.192936056998557,0.5954209166958345,0.8929195378805576,0.6417482248824079,5.2636506988312455,37.54255882253796,0.23039804169157835,0.05641689142554785,0.04694867817057408,Nature,21
jena_weather/10T/long,f32,1392.9681216931217,1392.9681216931217,9.577007895171958,0.6588468446327868,0.9273217446415637,0.6349793600268948,5.683634065496199,37.32248814981554,0.2283827047305348,0.05860335349415517,0.04826847468668731,Nature,21
jena_weather/D/short,f32,363.4428571428571,363.4428571428571,9.538239397321428,1.06912590193658,0.627999707526967,0.45477577735981367,7.002726498245558,19.064177326673637,0.11479750645962633,0.05743579070130909,0.04575322451866423,Nature,21
jena_weather/H/short,f32,1063.954365079365,1063.954365079365,8.356237272869674,0.5360558466371491,1.6414404992290819,0.6081271635539807,4.567767196258881,32.6183133389721,0.19994816090504686,0.0512231965348196,0.04154917143071569,Nature,21
jena_weather/H/medium,f32,1300.5475198412698,1300.5475198412698,10.250208488343254,0.7661908242364895,2.6116435635905333,0.6603116316675463,6.344323353391055,36.06310468943668,0.22067653349788036,0.062722843646368,0.05103158917494964,Nature,21
jena_weather/H/long,f32,1254.8853174603175,1254.8853174603175,10.797252190806878,0.8290676048813879,2.483216502568493,0.6389661378027398,6.490369933513329,35.42436050884077,0.21329391905618028,0.06501142721377783,0.05280016014815638,Nature,21
kdd_cup_2018/D/short,f32,2990.027528426092,2990.027528426092,21.688447536405345,1.2184213167245015,0.5147865224894441,0.4764846740753028,9.51060453589697,54.6811441762706,1.2249156540123167,0.4858442393401227,0.3844850205077974,Nature,1
kdd_cup_2018/H/short,f32,4273.550671806505,4273.550671806505,21.91270540067049,0.9120606327805778,0.8617014209947192,0.48386516893162246,7.075069798379057,65.37239992387082,1.3683627273023273,0.4586726104526112,0.3643083175566217,Nature,1
kdd_cup_2018/H/medium,f32,5068.055903428363,5068.055903428363,24.7365057285656,1.0173647716376086,0.997390084570586,0.5428278028578554,8.217392987992584,71.19027955717243,1.4901414827344175,0.5177798647978397,0.4115804706401029,Nature,1
kdd_cup_2018/H/long,f32,3958.2054475893624,3958.2054475893624,23.628936436978925,0.997465374163987,1.1203881779425122,0.5932184748963971,7.378000680653149,62.91427061954515,1.4762230186576506,0.5544303308481868,0.4357885054257824,Nature,1
m4_daily/D/short,f32,387337.1521849336,387337.1521849336,180.161313114671,3.4164217776711245,0.03757825214110478,0.030818260439899364,27.21714617197725,622.364163641299,0.09613806396313505,0.02782994403560047,0.022151328757650256,Econ/Fin,1
m4_hourly/H/short,f32,842505.996779388,842505.996779388,188.75023902979066,0.9132622715338736,0.09117476606138662,0.08604184386960805,7.440473129849786,917.8812541823633,0.1253110651036128,0.025768576690733173,0.020611790224907403,Econ/Fin,1
m4_monthly/M/short,f32,1916956.9165555555,1916956.9165555555,573.2824848090278,0.9848875066552805,0.15990166077790438,0.13431458315879768,8.248847387273432,1384.5421324595202,0.28775538380226184,0.11914778003200942,0.09588470198891345,Econ/Fin,1
m4_quarterly/Q/short,f32,1919107.9253333334,1919107.9253333334,600.9877623697917,1.3121831392647412,0.11934974320729573,0.1092449149003482,9.86661370592518,1385.3187089378869,0.23187795720643767,0.10059476837010185,0.07996622379154351,Econ/Fin,1
m4_weekly/W/short,f32,295443.6923076923,295443.6923076923,282.5034818941504,2.2810793493529715,0.06636323636620822,0.06689995176573647,15.130646378455175,543.5473229698517,0.09902589870792651,0.05146775634885861,0.04003209917186018,Econ/Fin,1
m4_yearly/A/short,f32,4291517.301529265,4291517.301529265,1033.288568962015,3.9685170463421358,0.18300594611998267,0.1735830506473151,32.73505773156739,2071.597765380448,0.3321903042465048,0.16569261168076704,0.13216657264033888,Econ/Fin,1
restaurant/D/short,f32,137.42655505743906,137.42655505743906,7.017090892640328,0.6733221279739741,0.6357871985762819,0.3890193513553899,4.5801952165829425,11.722907278377624,0.5395153546541953,0.32294278131554965,0.25314672122914944,Sales,1
saugeen/D/short,f32,1307.5159375,1307.5159375,13.477161458333333,2.9944429481444828,0.28280731201171877,0.3412373056380251,29.115761160162013,36.15958984142381,1.1712177305435196,0.43652847077693024,0.35247849700892164,Nature,1
saugeen/M/short,f32,380.10479445684524,380.10479445684524,12.510157993861608,0.7331544040722495,0.3703533581324986,0.35478467024666754,4.983856281976126,19.496276425431734,0.5853367065729365,0.37559247309820043,0.2887936498354796,Nature,1
saugeen/W/short,f32,886.6853515625,886.6853515625,13.856381225585938,1.1239827315173945,0.3433215141296387,0.36856069293522575,8.516830715640065,29.77726232484276,0.8988514238231944,0.41826638922625226,0.3332260429886025,Nature,1
solar/10T/short,f32,22.518599832725062,22.518599832725062,2.1450543405945863,0.9413157888242604,4.840526650842702,1.5311552616081032,6.350573687453381,4.745376679751046,1.3804295622472014,0.6239960753840074,0.49157685856573924,Energy,1
solar/10T/medium,f32,21.359520847157707,21.359520847157707,1.9418325591683256,0.8497088070249572,2.9636214755289036,1.4701406500981764,4.861960259019434,4.621636165597386,1.0255594782104405,0.430900381336119,0.3375642754058111,Energy,1
solar/10T/long,f32,19.75430083510746,19.75430083510746,1.8797694544239152,0.820765070795954,2.3660366618409348,1.471584613594721,4.842097860934543,4.444581064072008,0.9606251264514456,0.40628210934264175,0.3159905785712881,Energy,1
solar/D/short,f32,122951.53673965936,122951.53673965936,253.04840328467154,0.987410470652408,1.0570683166058394,0.4303746891136947,4.980790776950303,350.64445916007196,0.5065618569632047,0.36556878547719984,0.27530150235769585,Energy,1
solar/H/short,f32,756.0719042130875,756.0719042130875,12.1236138790178,0.9363989032899603,4.46870079568636,1.4136586706577157,4.720521953486883,27.496761704118676,1.0135397850129306,0.4468804412949809,0.3402888366470483,Energy,1
solar/H/medium,f32,863.8903892944039,863.8903892944039,13.18407276459854,1.0090361642269834,4.814082207946995,1.4261879842199041,5.060686032243755,29.39201233829361,1.0587688857178652,0.4749210727572677,0.36017068675367997,Energy,1
solar/H/long,f32,820.6147607461476,820.6147607461476,13.426429440389294,1.0238895929969636,4.7613309890883055,1.4307374627293519,5.108774925478651,28.646374303673188,0.9932220909210356,0.4655188185779332,0.3441533840314825,Energy,1
solar/W/short,f32,2089910.8905109488,2089910.8905109488,1172.525091240876,1.2879196128405164,0.26985497022197197,0.22735948533876277,6.593011416964275,1445.6524099903645,0.295093799973039,0.2393416856962944,0.18763832071434758,Energy,1
temperature_rain/D/short,f32,196.42746692434534,196.42746692434534,5.951191612656064,1.3735835855335534,21.0347993221828,1.5372258851575342,19.51844046404227,14.015258360955938,1.649966462251302,0.7006125979574169,0.5649282912829272,Nature,1
us_births/D/short,f32,151695.94666666666,151695.94666666666,232.79375,0.3428226689835304,0.022427951494852702,0.022145513847143465,3.1525245893230514,389.4816384204352,0.03651074314071268,0.021822525050175345,0.018169118719900172,Healthcare,1
us_births/M/short,f32,30114821.333333332,30114821.333333332,4345.561197916667,0.49096742278492594,0.013516863187154135,0.013558676750555705,4.415171027482476,5487.697270561974,0.01704475030771817,0.013497283453067213,0.011417413985162815,Healthcare,1
us_births/W/short,f32,2696904.8571428573,2696904.8571428573,1282.520228794643,1.1658489859078214,0.017290068524224416,0.01733771740588757,6.78149138858776,1642.2255804678166,0.02229305122736451,0.017410086349102846,0.013431931664105213,Healthcare,1
